 ETA_AV=  8.47117117E-05
   0.0000      0.129517 16.053598  0.000325
   7.0000      0.005600  0.694155  0.000014
   7.0250      0.005119  0.634498  0.000013
   7.0500      0.005273  0.653556  0.000013
   7.0750      0.005378  0.666638  0.000013
   7.1000      0.005149  0.638196  0.000013
   7.1250      0.005146  0.637887  0.000013
   7.1500      0.004962  0.614995  0.000012
   7.1750      0.005281  0.654601  0.000013
   7.2000      0.004875  0.604314  0.000012
   7.2250      0.004990  0.618502  0.000013
   7.2500      0.005171  0.640914  0.000013
   7.2750      0.005042  0.625000  0.000013
   7.3000      0.005061  0.627277  0.000013
   7.3250      0.005004  0.620288  0.000013
   7.3500      0.005014  0.621517  0.000013
   7.3750      0.004897  0.607042  0.000012
   7.4000      0.004827  0.598246  0.000012
   7.4250      0.004895  0.606708  0.000012
   7.4500      0.004807  0.595773  0.000012
   7.4750      0.004753  0.589151  0.000012
   7.5000      0.004891  0.606215  0.000012
   7.5250      0.004782  0.592701  0.000012
   7.5500      0.004844  0.600407  0.000012
   7.5750      0.004817  0.597054  0.000012
   7.6000      0.004797  0.594537  0.000012
   7.6250      0.004805  0.595565  0.000012
   7.6500      0.004500  0.557760  0.000011
   7.6750      0.004574  0.567006  0.000011
   7.7000      0.004539  0.562661  0.000011
   7.7250      0.004804  0.595412  0.000012
   7.7500      0.004497  0.557422  0.000011
   7.7750      0.004352  0.539417  0.000011
   7.8000      0.004456  0.552322  0.000011
   7.8250      0.004489  0.556350  0.000011
   7.8500      0.004275  0.529921  0.000011
   7.8750      0.004189  0.519285  0.000011
   7.9000      0.004338  0.537686  0.000011
   7.9250      0.004335  0.537267  0.000011
   7.9500      0.004411  0.546799  0.000011
   7.9750      0.004552  0.564164  0.000011
   8.0000      0.004158  0.515440  0.000010
   8.0250      0.004479  0.555137  0.000011
   8.0500      0.004331  0.536774  0.000011
   8.0750      0.004183  0.518425  0.000010
   8.1000      0.004288  0.531460  0.000011
   8.1250      0.004176  0.517661  0.000010
   8.1500      0.004357  0.540003  0.000011
   8.1750      0.004322  0.535656  0.000011
   8.2000      0.004140  0.513116  0.000010
   8.2250      0.004180  0.518121  0.000010
   8.2500      0.004241  0.525711  0.000011
   8.2750      0.004130  0.511932  0.000010
   8.3000      0.004061  0.503321  0.000010
   8.3250      0.004094  0.507484  0.000010
   8.3500      0.004237  0.525213  0.000011
   8.3750      0.004132  0.512168  0.000010
   8.4000      0.004014  0.497489  0.000010
   8.4250      0.003981  0.493478  0.000010
   8.4500      0.004048  0.501695  0.000010
   8.4750      0.004011  0.497172  0.000010
   8.5000      0.003749  0.464635  0.000009
   8.5250      0.004189  0.519265  0.000011
   8.5500      0.004005  0.496412  0.000010
   8.5750      0.003902  0.483618  0.000010
   8.6000      0.003741  0.463715  0.000009
   8.6250      0.003856  0.477956  0.000010
   8.6500      0.003860  0.478430  0.000010
   8.6750      0.003888  0.481960  0.000010
   8.7000      0.003922  0.486072  0.000010
   8.7250      0.003778  0.468295  0.000009
   8.7500      0.003820  0.473481  0.000010
   8.7750      0.003845  0.476594  0.000010
   8.8000      0.003921  0.485970  0.000010
   8.8250      0.003696  0.458109  0.000009
   8.8500      0.003811  0.472412  0.000010
   8.8750      0.003737  0.463194  0.000009
   8.9000      0.003806  0.471730  0.000010
   8.9250      0.003663  0.454052  0.000009
   8.9500      0.003851  0.477309  0.000010
   8.9750      0.003770  0.467328  0.000009
   9.0000      0.003770  0.467352  0.000009
   9.0250      0.003612  0.447744  0.000009
   9.0500      0.003802  0.471259  0.000010
   9.0750      0.003720  0.461122  0.000009
   9.1000      0.003576  0.443190  0.000009
   9.1250      0.003650  0.452454  0.000009
   9.1500      0.003647  0.451987  0.000009
   9.1750      0.003724  0.461539  0.000009
   9.2000      0.003582  0.444031  0.000009
   9.2250      0.003577  0.443344  0.000009
   9.2500      0.003573  0.442824  0.000009
   9.2750      0.003574  0.443001  0.000009
   9.3000      0.003424  0.424421  0.000009
   9.3250      0.003502  0.434134  0.000009
   9.3500      0.003681  0.456259  0.000009
   9.3750      0.003499  0.433661  0.000009
   9.4000      0.003533  0.437930  0.000009
   9.4250      0.003571  0.442590  0.000009
   9.4500      0.003498  0.433612  0.000009
   9.4750      0.003490  0.432613  0.000009
   9.5000      0.003419  0.423841  0.000009
   9.5250      0.003418  0.423685  0.000009
   9.5500      0.003456  0.428321  0.000009
   9.5750      0.003456  0.428395  0.000009
   9.6000      0.003561  0.441435  0.000009
   9.6250      0.003411  0.422845  0.000009
   9.6500      0.003458  0.428607  0.000009
   9.6750      0.003491  0.432664  0.000009
   9.7000      0.003417  0.423528  0.000009
   9.7250      0.003415  0.423294  0.000009
   9.7500      0.003413  0.423002  0.000009
   9.7750      0.003592  0.445177  0.000009
   9.8000      0.003414  0.423187  0.000009
   9.8250      0.003340  0.413972  0.000008
   9.8500      0.003373  0.418027  0.000008
   9.8750      0.003410  0.422690  0.000009
   9.9000      0.003413  0.423085  0.000009
   9.9250      0.003372  0.418000  0.000008
   9.9500      0.003374  0.418211  0.000008
   9.9750      0.003408  0.422374  0.000009
  10.0000      0.003300  0.409052  0.000008
  10.0250      0.003337  0.413581  0.000008
  10.0500      0.003298  0.408812  0.000008
  10.0750      0.003405  0.422110  0.000009
  10.1000      0.003261  0.404257  0.000008
  10.1250      0.003335  0.413316  0.000008
  10.1500      0.003374  0.418264  0.000008
  10.1750      0.003328  0.412557  0.000008
  10.2000      0.003257  0.403681  0.000008
  10.2250      0.003262  0.404337  0.000008
  10.2500      0.003289  0.407709  0.000008
  10.2750      0.003330  0.412767  0.000008
  10.3000      0.003256  0.403524  0.000008
  10.3250      0.003255  0.403442  0.000008
  10.3500      0.003401  0.421588  0.000009
  10.3750      0.003218  0.398863  0.000008
  10.4000      0.003291  0.407946  0.000008
  10.4250      0.003330  0.412765  0.000008
  10.4500      0.003254  0.403288  0.000008
  10.4750      0.003290  0.407790  0.000008
  10.5000      0.003290  0.407736  0.000008
  10.5250      0.003214  0.398389  0.000008
  10.5500      0.003255  0.403417  0.000008
  10.5750      0.003366  0.417215  0.000008
  10.6000      0.003214  0.398417  0.000008
  10.6250      0.003363  0.416847  0.000008
  10.6500      0.003216  0.398651  0.000008
