 ETA_AV=  0.0929263681
   3.8600      1.000804  1.076986
   3.8700      1.000865  1.077052
   3.8800      1.000942  1.077135
   3.8900      1.000918  1.077109
   3.9000      1.000968  1.077163
   3.9100      1.000982  1.077177
   3.9200      1.000882  1.077069
   3.9300      1.000878  1.077066
   3.9400      1.001019  1.077217
   3.9500      1.001001  1.077198
   3.9600      1.000914  1.077104
   3.9700      1.000962  1.077156
   3.9800      1.001065  1.077266
   3.9900      1.001024  1.077223
   4.0000      1.001107  1.077312
   4.0100      1.001100  1.077305
   4.0200      1.001074  1.077276
   4.0300      1.001089  1.077293
   4.0400      1.000912  1.077102
   4.0500      1.000909  1.077099
   4.0600      1.000791  1.076972
   4.0700      1.000773  1.076953
   4.0800      1.000791  1.076972
   4.0900      1.000712  1.076887
   4.1000      1.000538  1.076700
   4.1100      1.000535  1.076696
   4.1200      1.000471  1.076628
   4.1300      1.000498  1.076657
   4.1400      1.000591  1.076757
   4.1500      1.000557  1.076720
   4.1600      1.000549  1.076712
   4.1700      1.000544  1.076706
   4.1800      1.000497  1.076656
   4.1900      1.000516  1.076676
   4.2000      1.000525  1.076686
   4.2100      1.000499  1.076658
   4.2200      1.000568  1.076732
   4.2300      1.000440  1.076594
   4.2400      1.000344  1.076491
   4.2500      1.000212  1.076349
   4.2600      1.000183  1.076318
   4.2700      1.000248  1.076388
   4.2800      1.000264  1.076405
   4.2900      1.000183  1.076318
   4.3000      1.000115  1.076244
   4.3100      1.000026  1.076148
   4.3200      1.000084  1.076211
   4.3300      1.000139  1.076270
   4.3400      1.000240  1.076379
   4.3500      1.000308  1.076453
   4.3600      1.000376  1.076525
   4.3700      1.000292  1.076435
   4.3800      1.000250  1.076390
   4.3900      1.000243  1.076383
   4.4000      1.000019  1.076141
   4.4100      1.000046  1.076170
   4.4200      1.000029  1.076152
   4.4300      1.000042  1.076166
   4.4400      0.999939  1.076056
   4.4500      0.999844  1.075953
   4.4600      0.999852  1.075962
   4.4700      0.999911  1.076025
   4.4800      0.999847  1.075957
   4.4900      0.999768  1.075872
   4.5000      0.999710  1.075808
   4.5100      0.999872  1.075984
   4.5200      0.999775  1.075879
   4.5300      0.999853  1.075963
   4.5400      0.999829  1.075937
   4.5500      0.999865  1.075975
   4.5600      0.999816  1.075923
   4.5700      0.999736  1.075837
   4.5800      0.999594  1.075684
   4.5900      0.999637  1.075731
   4.6000      0.999634  1.075727
   4.6100      0.999648  1.075742
   4.6200      0.999650  1.075744
   4.6300      0.999620  1.075711
   4.6400      0.999734  1.075835
   4.6500      0.999739  1.075840
   4.6600      0.999651  1.075745
   4.6700      0.999680  1.075777
   4.6800      0.999608  1.075699
   4.6900      0.999591  1.075680
   4.7000      0.999647  1.075741
   4.7100      0.999653  1.075748
   4.7200      0.999577  1.075666
   4.7300      0.999504  1.075588
   4.7400      0.999521  1.075606
   4.7500      0.999674  1.075770
   4.7600      0.999535  1.075621
   4.7700      0.999600  1.075690
   4.7800      0.999647  1.075740
   4.7900      0.999685  1.075782
   4.8000      0.999745  1.075846
   4.8100      0.999649  1.075743
   4.8200      0.999539  1.075625
   4.8300      0.999460  1.075540
   4.8400      0.999440  1.075518
   4.8500      0.999448  1.075527
   4.8600      0.999613  1.075704
   4.8700      0.999579  1.075668
   4.8800      0.999436  1.075514
   4.8900      0.999500  1.075583
   4.9000      0.999500  1.075583
   4.9100      0.999455  1.075534
   4.9200      0.999464  1.075544
   4.9300      0.999419  1.075495
   4.9400      0.999400  1.075476
   4.9500      0.999355  1.075427
   4.9600      0.999373  1.075446
   4.9700      0.999360  1.075432
   4.9800      0.999314  1.075382
   4.9900      0.999256  1.075320
   5.0000      0.999260  1.075324
